	Entrez Gene ID
TENM2	57451
FZD10	11211
FZD9	8326
FZD4	8322
TFAM	7019
HK1	3098
ADRA1B	147
RECQL5	9400
ADD3	120
RAX2	84839
SDK1	221935
TBX22	50945
UCP3	7352
MUSK	4593
PALD1	27143
PDIA3	2923
UGP2	7360
LMO4	8543
NR1H4	9971
DIO2	1734
TNFRSF10B	8795
BASP1	10409
NRG1	3084
AHR1A	373907
EDNRA	1909
EDNRB2	373909
NHLH1	4807
PTPRO	5800
NOG	9241
NR2C1	7181
QSOX1	5768
SREBF1	6720
ACO1	48
LGALS3	3958
ACTN1	87
RUNX2	860
MID1	4281
ZNF622	90441
LIMK1	3984
CELF1	10658
CACNG4	27092
ARNTL2	56938
FGB	2244
CDH20	28316
PPARG	5468
MAPKAPK5	8550
SUMO1	7341
EGR1	1958
NKX3-2	579
GRM5	2915
HOXA13	3209
DACH1	1602
RPL36	25873
RPL22	6146
VAV2	7410
VAV3	10451
LHX3	8022
PRRX1	5396
AGMAT	79814
TBX20	57057
ABCA1	19
ITGA3	3675
FDX1	2230
MATR3	9782
B3GAT1	27087
LOC373950	373950
S100A6	6277
NBL1	4681
MAPK3	5595
BCL2L1	598
LEP	3952
ADORA3	140
RPL6	6128
IL2	3558
CDH1-C	373959
SMYD1	150572
HDAC1	3065
EEF1A1	1915
MSTN	2660
CALD1	800
SLIT2	9353
DLX5	1749
ROCK1	6093
TYR	7299
PRPF40A	55660
AKT2	208
IRX4	50805
IRX2	153572
ALX4	60529
PSEN1	5663
COL18A1	80781
FBLN1	2192
LAMB2	3913
HPSE	10855
SMTN_C	373982
BRCA1	672
PCNA	5111
CHRDL1	91851
LMBR1	64327
THBS1	7057
TBX5	6910
TBX4	9496
TBX2	6909
CLOCK	9575
FBN1	2200
POU2AF1	5450
KERA	11081
CAV1	857
LDHB	3945
CRYBA4	1413
CRYBA2	1412
CRYBB1	1414
CHRNA7	1139
CKMT1B	1159
POLK	51426
MYOG	4656
HCRT	3060
SAT1	6303
CDH7	1005
EPHA6	285220
ACO2	50
UNG	7374
MAB21L2	10586
BIRC3	330
SPIN1W	374014
FABP1	2168
LAMA1	284217
BARX1	56033
ILK	3611
SOX3	6658
FECH	2235
RNF111	54778
DPYSL4	10570
GLIS2	84662
TWSG1	57045
SMN	374025
ARNT	405
NEB	4703
CLDN5	7122
CLDN3	1365
PCBD2	84105
NOTCH2	4853
UGT8	7368
AFAP1	60312
GIT2	9815
HAT1	8520
CBL	867
OGN	4969
DIAPH2	1730
SOD2	6648
HK2	3099
COL11A1	1301
CCND2	894
MYOD1	4654
TPD52L1	7164
DDB1	1642
HOXA1	3198
F5	2153
RPS17	6218
DAZL	1618
TRAF5	7188
GPX4	2879
LOC374057	374057
ITGB1	3688
FZD8	8325
FZD7	8324
FZD2	2535
FZD1	8321
PFKM	5213
KCNMA1	3778
DCXR	51181
PKNOX2	63876
CDH5	1003
MYH1B	374069
RGS19	10287
KHDRBS1	10657
SLC25A6	293
CFDP1	10428
HIRA	7290
BTK	695
SIAH1	6477
GNA11	2767
BIRC5	332
OPTN	10133
TLE4	7091
DAB1	1600
ERAL1	26284
ADARB1	104
IMPG1	3617
SEMA3E	9723
SEMA3C	10512
P4HB	5034
CRY2	1408
CRY1	1407
TGFBR1	7046
ENTPD8	377841
SMAD6	4091
GNAI3	2773
KCNIP2	30819
BIVM	54841
FLT1	2321
SCX	642658
SDC2	6383
ZIC1	7545
RIMBP2	23504
CDKN1B	1027
FSHB	2488
SEMA3F	6405
PTGDS	5730
CELF2	10659
ADAM10	102
ARNTL	406
PER2	8864
JCHAIN	3512
SUFU	51684
NEDD4L	23327
PPARA	5465
NDUFS4	4724
UBE2I	7329
MIP	4284
LITAF	9516
NAB1	4664
PAX3	5077
PDGFB	5155
LMO2	4005
THBS3	7059
NR3C2	4306
RPL39L	116832
RPL35	11224
RPL14	9045
NOV	374135
IL1RL1	9173
MEOX2	4223
HIPK2	28996
BRCA2	675
KHSRP	8570
TLR2A	374141
WNT3	7473
KCND2	3751
PTS	5805
ERG	2078
BMPR2	659
SOX9	6662
ID4	3400
B3GAT3	26229
TRPC3	7222
ST8SIA4	7903
DKK4	27121
NRP2	8828
DFFB	1677
ATP5A1Z	374159
THYN1	29087
MKRN2	23609
HSP90B1	7184
FABP4	2167
P2RX4	5025
WNT7A	7476
CACNA1B	774
CX36	374170
SLIT3	6586
CAMK2B	816
CAMK2A	815
HIF1A	3091
TIMP2	7077
IRF4	3662
ENAH	55740
ROCK2	9475
IRX1	79192
UFD1L	374186
PTCH2	8643
PSEN2	5664
ME1	4199
PDCD4	27250
DUSP1	1843
GAPDH	2597
LOC374195	374195
PDGFA	5154
ACTR3	10096
APP	351
JAK2	3717
SOX18	54345
PITX1	5307
TBX3	6926
FBN2	2201
QKI	9444
CDX2	1045
SAP18	10284
HDAC4	9759
PTPRG	5793
ITGB3	3690
BCKDHA	593
CRABP1	1381
ADORA1	134
ACVR2B	93
GABRA1	2554
POU1F1	5449
GUCA1A	2978
CRHR1	1394
PROP1	5626
GLDC	2731
LEPR	3953
PAFAH1B1	5048
MAGOH	4116
KCND3	3752
TNFSF13B	10673
FOXO1	2308
KAT2A	2648
FKBP1A	2280
SPTAN1	6709
DPF2	5977
CBX1	10951
SOX1	6656
PI15	51050
DCX	1641
WNT2B	7482
ATP2B1	490
NBN	4683
GDF5	8200
TGFBR3	7049
TNKS	8658
TNKS2	80351
LSP1P1	100463528
MRPL23	6150
CD81	975
F9	2158
CACNB4	785
CHEK1	1111
PC	5091
LIX1	167410
XIRP1	165904
MBL2	4153
PIK3AP1	118788
TP63	8626
IL16	3603
IGFBP4	3487
DUSP6	1848
SURF4	6836
ATXN3	4287
BMP2	650
GH	378781
EPHA1	2041
KIT	3815
NPFFR1	64106
NPVF	64111
SIX3	6496
FZD6	8323
SLC15A1	6564
RTN4	57142
RTN1	6252
RHBG	57127
TRMT11	60487
HMGA1	3159
CAV3	859
GJB1	2705
ARSH	347527
MSH2	4436
SOSTDC1	25928
STK25	10494
SLC2A8	29988
TNFRSF11B	4982
PPP3R1	5534
PPP3CB	5532
CSNK1E	1454
FANCG	2189
TNFSF10	8743
STX2	2054
TERF1	7013
THY1	7070
DDAH1	23576
FTL	2512
TFCP2	7024
RGS4	5999
LOC378902	378902
CREM	1390
FAM53A	152877
ZP3	7784
SGMS1	259230
SLA	6503
PYGL	5836
RECQL	5965
GHSR	2693
RGS2	5997
FLNB	2317
CDKN1A	1026
PSMB7	5695
LHFPL5	222662
FGF9	2254
TRAM1L1	133022
TRIB2	28951
RIPK1	8737
BUB1B	701
HAL	3034
ANKRD1	27063
BRS3	680
GRPR	2925
PDE6H	5149
TNFSF8	944
ITGA5	3678
GYS1	2997
PROMRP	378935
TERC	7012
SPARC	6678
GRB2	2885
ASCL1	429
NFKB2	4791
YBX1	4904
LOC386576	386576
CHRNA5	1138
CHRNA3	1136
RPS6KA1	6195
PTPRC	5788
ATP4B	496
RB1	5925
MMP2	4313
NR2F2	7026
OCM	654231
FMN1	342184
PAX5	5079
CRIM1	51232
COL2A1	1280
POFUT1	23509
FUT11	170384
CHIA	27159
FUT10	84750
CCDC80	151887
ARC	23237
CDKN2B	1030
CDKN2A	1029
ALG6	29929
FBN3	84467
NT5C3A	51251
TPX2	22974
CCL20	6364
TNFRSF1B	7133
ALC	395084
PROC	5624
F7	2155
TSPAN32	10077
ZMYND19	116225
WRNIP1	56897
TNFRSF8	943
PDE6G	5148
PDE6B	5158
PHACTR1	221692
FGFBP2	83888
LOC395095	395095
TNFRSF6B	8771
IGF2	3481
BRINP1	1620
CREB1	1385
LOC395100	395100
UNC5C	8633
POLH	5429
LDLR	3949
TBX18	9096
CRHR2	1395
SS2	395106
FGFRL1	53834
GZMA	3001
RFTN1	23180
RGS3	5998
IL17A	3605
POFUT2	23275
PPP3CA	5530
RHOQ	23433
KCNA5	3741
KCNA10	3744
KCNA2	3737
RHAG	6005
ARVCF	421
STK40	83931
RHCE	6006
TERF2IP	54386
AIP	9049
CCNL2	81669
USP7	7874
AVEN	57099
HES4	57801
ANGPT1	284
OPTC	26254
SLC34A2	10568
SMAD3	4088
SGK1	6446
NDC80	10403
NUF2	83540
PCSK2	5126
ST3GAL6	10402
ST3GAL2	6483
HS2ST1	9653
HS6ST1	9394
ITGB5	3693
SOX4	6659
CLDN4	1364
HMGCR	3156
TCF3	6929
EIF2AK2	5610
NEBL	10529
MRAS	22808
HS6ST2	90161
AXIN2	8313
PTPRU	10076
DPYSL3	1809
DPYSL2	1808
CRMP1	1400
HNRNPH1	3187
NF2	4771
LOC395159	395159
OAF	220323
SHISA2	387914
FSTL4	23105
BHLHE22	27319
BHLHE23	128408
FAT4	79633
FAT3	120114
FAT1	2195
RGS9BP	388531
DSTYK	25778
DHRS11	79154
APTX	54840
MTF2	22823
EBF3	253738
EBF2	64641
BMP10	27302
UBA7	7318
ROR1	4919
CXCL12	6387
RPSAP58	388524
ST6GALNAC4	27090
BSX	390259
SLC35A1	10559
SLC35B1	10237
IL17RD	54756
SMC1A	8243
SMC3	9126
SMC4	10051
P2RX1	5023
OTX2	5015
SLURP1	57152
BCL2L10	10017
TLN1	7094
NBEA	26960
IL1B	3553
RAB5C	5878
CASQ2	845
IL2RG	3561
SH3GL3	6457
SH3GL1	6455
SH3GL2	6456
PCM1	5108
NODAL	4838
CHST10	9486
CENPI	2491
MAB21L1	4081
RARRES1	5918
SPP1	6696
LOC395211	395211
RAR-GAMMA2	395212
RARA	5914
RGMA	56963
SDK2	54549
TMEM121	80757
FBP2	8789
FBP1	2203
SOCS2	8835
ORM1	5004
NR1H3	10062
MTFR1	9650
LOC395224	395224
TOB1	10140
IFRD1	3475
SULT1B1	27284
RDM1	201299
TCF7	6932
TCF7L1	83439
HOXA3	3200
EIF4A2	1974
DYRK1A	1859
INVS	27130
WNT6	7475
BID	637
SFRP1	6422
WFDC1	58189
KCNIP4	80333
HOPX	84525
EMB	133418
IRF9	10379
UNC93B1	81622
MSX2	4488
ATVR1	395246
SMAD2	4087
KCNT1	57582
DDX1	1653
SSBP3	23648
NSG1	27065
MESP1	55897
NR2C2	7182
FKBP1B	2281
VEGFD	2277
MEPE	56955
CBFB	865
IL15	3600
TRPV1	7442
FLNC	2318
FLNA	2316
LIFR	3977
DBI	1622
ALDH1A1	216
CPZ	8532
FMO3	2328
SSB	6741
RPL5	6125
MOCS1	4337
DMBX1	127343
CLTC	1213
GJD2	57369
FAS	355
ZW10	9183
CPA1	1357
PARK7	11315
GJA1	2697
MYH7B	57644
BIRC8	112401
ID3	3399
ID1	3397
TRAIL-LIKE	395283
CASP8	841
NR0B1	190
NR2E3	10002
HOXA7	3204
ROBO2	6092
ROBO1	6091
SLIT1	6585
IL2RA	3559
EIF2S2	8894
UBI	395296
FZR1	51343
SNRPN	6638
SOCS3	9021
SULT1C3	442038
KCNMB1	3779
SP3	6670
SP1	6667
SREBF2	6721
SSTR2	6752
F2	2147
HOXA4	3201
SFTPA2	729238
IKZF2	22807
IL18	3606
MX1	4599
CHAT	1103
GART	2618
CENPH	64946
CNTN5	53942
PSMA7	5688
PCLO	27445
CDX4	1046
TULP1	7287
NKX2-1	7080
KDR	3791
CXCR4	7852
LOC395325	395325
NFIL3	4783
HOXA11	3207
HOXD11	3237
VIPR1	7433
PTPRJ	5795
ST7L	54879
TES	26136
MOXD1	26002
OPN4-1	395334
CISH	1154
AXL	558
IL6	3569
AKR1B10	57016
ADCY9	115
ADCY6	112
ENS-3	395341
CRTAM	56253
DAD1	1603
SPIN1Z	395344
LBFABP	395345
BCO1	53630
MXRA8	54587
ACTR6	64431
FSTL1	11167
MYH7	4625
DPF3	8110
DPF1	8193
FKBP3	2287
CBX4	8535
CBX3	11335
MINPP1	9562
CENPF	1063
BCHE	590
SALL3	27164
EIF2AK1	27102
CD4	920
AvBD3	395363
PIT54	395364
ADRM1	11047
GBP	395366
AVR2	395367
GNRHR	2798
CRISPLD1	83690
U2AF1	7307
CLSTN1	22883
ACLY	47
DBT	1629
BCKDHB	594
PRKDC	5591
GBX1	2636
CACNG3	10368
LOC395379	395379
CD164	8763
OVOA	395381
GPR149	344758
SLC16A3	9123
C4BPM	395384
CD40	958
CLEC3B	7123
MMP9	4318
ATOH7	220202
ALDH1A3	220
RBBP7	5931
SNCB	6620
SNCG	6623
SNCA	6622
FGF19	9965
GAD2	2572
WNT3A	89780
CDX1	1044
NRXN1	9378
CITED2	10370
BAZ2B	29994
ATM	472
SLC34A1	6569
TRA2B	6434
FETUB	26998
TWIST2	117581
TENM4	26011
INSRRL	395408
RYK	6259
ABL2	27
ZBTB7A	51341
ITPR1	3708
KAT5	10524
CCT4	10575
MGAT4C	25834
ABCC1	4363
SIK1	150094
ZP1	22917
MSGN1	343930
F13A1	2162
STAR	6770
OPCML	4978
HINTW	395423
HINT2	84681
GNAT2	2780
GNAT1	2779
TRPV4	59341
MBD4	8930
POSTN	10631
CDC37	11140
GRK1	6011
FGF10	2255
NPAS2	4862
POPDC3	64208
PLEKHA2	59339
USPL1	10208
CFC1	55997
LCP2	3937
NR1I3	9970
LRRC17	10234
TLL1	7092
RHOA	387
SLC1A3	6507
HABP4	22927
BOK	666
SALL1	6299
DDX4	54514
CHURC1	91612
RAD54B	25788
NTM	50863
CXCL14	9547
RDH5	5959
FGF18	8817
PCSK6	5046
PCSK7	9159
PCSK5	5125
FURIN	5045
SLC6A2	6530
ECE1	1889
TM9SF3	56889
ESPN	83715
FOXK1	221937
CITED4	163732
CSPG5	10675
CCL4	6351
PDGFC	56034
ITGB8	3696
TCIRG1	10312
ATP6V0A2	23545
ATP6V0A1	535
KANK1	23189
CASP3	836
CASP6	839
PPP1R12B	4660
PPARD	5467
RGN	9104
ANXA6	309
SOX8	30812
CTAGE1	64693
CD40LG	959
POLR2F	5435
MYO6	4646
MARCO	8685
C1H21ORF91	395489
TAX1BP1	8887
TWIST1	7291
ALDOC	230
NCAN	1463
BMP7	655
SLC5A1	6523
ATP6V1B2	526
VDAC2	7417
TAOK3	51347
MKRN4P	7682
HOXB3	3213
RUNX1T1	862
GATM	2628
PBX1	5087
HDAC3	8841
P2RX5	5026
TCF7L2	6934
PDGFRA	5156
TDG	6996
RDX	5962
EBF1	1879
EIF5B	9669
TXLNB	167838
DTX4	23220
TBPL1	9519
MAFK	7975
MAFF	23764
C5H11orf58	395520
POU4F3	5459
CHRNA9	55584
ARBP	395523
LOC395524	395524
SOX14	8403
CD9	928
UBE2J1	51465
LEFTY1	10637
COL4A1	1282
NID1	4811
COL1A1	1277
MEOX1	4222
MYH15	22989
OLFM1	10439
VSX2	338917
VSX1	30813
C1QBP	708
FOXA2	3170
TEAD4	7004
SMAD9	4093
SMAD7B	395544
FRZB	2487
SFRP2	6423
TMOD4	29765
PHOX2B	8929
DBH	1621
LY6E	4061
CCL1	6346
RBP3	5949
FGF14	2259
MRE11	4361
STAT5A	6776
NUDT16L1	84309
EPHA4	2043
NRP1	8829
WNT4	54361
WNT11	7481
PPY	5539
VCAN	1462
AMT	275
SOUL	395567
COL5A1	1289
GDNF	2668
TOP2A	7153
FZD5	7855
FZD3	7976
SOX10	6663
PAX2	5076
ESR2	2100
DACH2	117154
NEUROG2	63973
NHLH2	4808
KCNN2	3781
HTR2B	3357
VAX1	11023
SPRY1	10252
SPRY2	10253
TSPAN18	90139
DCTN2	10540
MEIS2	4212
MEIS1	4211
DLX3	1747
NKX6-2	84504
TH	7054
ZNF638	27332
HAS2	3037
PHOX2A	401
EPAS1	2034
MTCH2	23788
TERF2	7014
SYNM	23336
LECT1	395600
SIX5	147912
PSAP	5660
FGFR4	2264
CHRNB3	1142
CHRNB2	1141
CHRNA4	1137
CHRNA2	1135
CHRNA1	1134
MDM2	4193
ANGPT2	285
LOC395611	395611
GSTA4	2941
CHRNB4	1143
IKZF3	22806
SHH	6469
LOC395616	395616
RGS6	9628
RGS12	6002
